latitude;longitude;endereco_completo;rua;numero;bairro;cidade;estado;cep;pais;place_id;geocoder_usado
-8,044960628;-34,91721235;R. Eugenópolis, 11 - COHAB, Recife - PE, 50620-390, Brasil;Rua Eugenópolis;11;COHAB;Recife;PE;50620-390;Brasil;ChIJ6abloxoZqwcR_SXtB3Bsb3Q;google
-8,056789743;-34,95878327;R. Mário Campelo, 16 - Várzea, Recife - PE, 50741-430, Brasil;Rua Mário Campelo;16;Várzea;Recife;PE;50741-430;Brasil;ChIJ96Ig_eQbqwcR4YWRHedNVEw;google
-8,084401446;-34,88326372;R. Francisco Valpassos, 292 - Brasília Teimosa, Recife - PE, 51010-370, Brasil;Rua Francisco Valpassos;292;Brasília Teimosa;Recife;PE;51010-370;Brasil;ChIJebAT4EcfqwcRFBkJQcpSNB0;google
-8,120223219;-34,9351589;R. Flôres da Cunha, 771 - Ibura, Recife - PE, 51240-460, Brasil;Rua Flôres da Cunha;771;Ibura;Recife;PE;51240-460;Brasil;ChIJcYqevG4eqwcRLU9DMgf33fo;google
-8,050974714;-34,90051496;R. das Pernambucanas, 162 - Graças, Recife - PE, 52011-010, Brasil;Rua das Pernambucanas;162;Graças;Recife;PE;52011-010;Brasil;ChIJXS5VpeYYqwcRH6EyqlWe39A;google
-8,041493626;-34,93040529;Estr. do Caiara, 382 - Iputinga, Recife - PE, 50731-360, Brasil;Estrada do Caiara;382;Iputinga;Recife;PE;50731-360;Brasil;ChIJmQJ97HIZqwcRl0DiWbQChw4;google
-8,114407998;-34,90926058;R. São Judas Tadeu, 18 - Imbiribeira, Recife - PE, 51160-360, Brasil;Rua São Judas Tadeu;18;Imbiribeira;Recife;PE;51160-360;Brasil;ChIJjb_deFMeqwcRdo_WLvlmbA8;google
-8,064366365;-34,87794807;R. Larga do Rosário, 2 - Santana, Recife - PE, 50010-320, Brasil;Rua Larga do Rosário;2;Santana;Recife;PE;50010-320;Brasil;ChIJ-6BOMboYqwcRrHnMQxlRuVA;google
-8,06763577;-34,87703377;R. da Praia, 130 - São José, Recife - PE, 50020-280, Brasil;Rua da Praia;130;São José;Recife;PE;50020-280;Brasil;ChIJZS20krAYqwcR41Fa6N0W-gY;google
-8,097872443;-34,93821763;R. Rio Solimões, 231 - Areias, Recife - PE, 50780-231, Brasil;Rua Rio Solimões;231;Areias;Recife;PE;50780-231;Brasil;ChIJNQR6548eqwcRSMwiEUoXZ_g;google
